id,名前,レアリティ,コスト,タイプ,消滅,効果,特記,機械VP,許容VP,定価%,査定メモ
green_decoy_needle,毒針の囮,コモン,0,リアクション,消滅,[被攻撃後]返し5,,5.0,4,,リアクション=条件係数の手動査定
green_wild_sprout,野生の萌芽,コモン,0,呪文,消滅,成長+1,,4.0,4,100,
green_canopy_shade,木陰の守り,コモン,1,呪文,,上限×2ブロック,,,8,,参照スケール/倍加=典型値の手動査定要
green_double_lash,二連の蔦打ち,コモン,1,物理,,ダメージ5 + ダメージ5,軸:growth,10.0,8,125,
green_entangle,絡み蔦,コモン,1,物理,,《A》ブロック7 ／ 《B》ダメージ7,モード選択,7.0,8,88,モード=高い側のVP
green_flash_insight,緑の閃き,コモン,1,呪文,,4ドロー,捨てコスト1,12.0,8,150,捨てコスト補正別途
green_growth_ring,年輪,コモン,1,呪文,,成長+2,,8.0,8,100,
green_guard,防御,コモン,1,物理,,ブロック5,,5.0,8,62,
green_horn_stance,荒角の構え,コモン,1,物理,,ブロック6 + 勢い+3,,10.5,8,131,
green_horn_strike,荒角の一撃,コモン,1,物理,,ダメージ8(貫通),,10.0,8,125,
green_ramp_sprout,芽吹き,コモン,1,呪文,消滅,上限+1 + ブロック2,,8.0,8,100,
green_reaction_thorns,茨の返し,コモン,1,リアクション,,[被攻撃後]返し10,,10.0,8,,リアクション=条件係数の手動査定
green_reaction_vine,守りの蔓,コモン,1,リアクション,,[被攻撃前]ブロック12,,12.0,8,,リアクション=条件係数の手動査定
green_ritual_surge,自然の奔流,コモン,1,呪文,消滅,一時マナ+2,,10.0,8,125,
green_strike,打撃,コモン,1,物理,,ダメージ6,,6.0,8,75,
green_trample_charge,突進の助走,コモン,1,物理,,ダメージ6 + 勢い+3,,10.5,8,131,
green_bark_armor,樹皮の鎧,コモン,2,物理,,ブロック14 + 成長+1,,18.0,14,129,
green_ramp_deep_roots,深根,コモン,2,呪文,消滅,上限+2 + ブロック2,,14.0,14,100,
green_sweep,薙ぎ払い,コモン,2,物理,,ダメージ7(全体) + 成長+1,,18.0,14,129,
green_thorn_burst,茨の爆ぜ,コモン,2,リアクション,,[被攻撃後]返し8(全体),,16.0,14,,リアクション=条件係数の手動査定
green_triple_horn,三連の角,コモン,2,物理,,ダメージ5(貫通) + ダメージ5(貫通) + ダメージ5(貫通),,18.8,14,134,
green_trunk_blow,幹撃,コモン,2,物理,,上限×3ダメ,,,14,,参照スケール/倍加=典型値の手動査定要
green_reaction_cornered,窮鼠の大牙,アンコモン,1,リアクション,,[被攻撃後]返し20〈条件:{'hpAtOrBelowRatio': 0.5}〉,,20.0,8,,リアクション=条件係数の手動査定
green_reaction_resonance,共鳴する茨,アンコモン,1,リアクション,,[敵強化時]成長+4,,16.0,8,,リアクション=条件係数の手動査定
green_reaction_root_pierce,根穿ち,アンコモン,1,リアクション,,[敵防御時]返し12(貫通),,15.0,8,,リアクション=条件係数の手動査定
green_weak_point,急所突き,アンコモン,1,物理,,ダメージ6 + 急所2,,10.0,8,125,
green_bloom_lash,開花の蔦,アンコモン,2,呪文,,成長×4ダメ全消費,,,14,,参照スケール/倍加=典型値の手動査定要
green_fang,牙の一撃,アンコモン,2,物理,,ダメージ17(貫通),,21.2,14,152,
green_giant_bark,巨木の盾,アンコモン,2,物理,,上限×3ブロック,,,14,,参照スケール/倍加=典型値の手動査定要
green_perm_growth_tree,年輪の大樹,アンコモン,2,置物,,[毎T開始]成長+1 + ブロック5,,,14,,置物=生涯価値×3で手動査定
green_perm_herd_chief,大角の群長,アンコモン,2,置物,,[攻撃プレイ時]勢い+2,,,14,,置物=生涯価値×3で手動査定
green_perm_thorn_thicket,茨の茂み,アンコモン,2,置物,,[被攻撃後]返し5,,,14,,置物=生涯価値×3で手動査定
green_ramp_sunlight,陽光の恵み,アンコモン,2,呪文,,《A》上限+1+1ドロー ／ 《B》1ドロー+成長+2,モード選択,11.0,14,79,モード=高い側のVP
green_reaction_backlash,逆襲の蔦,アンコモン,2,リアクション,,[被攻撃後]返し24〈条件:{'minDamageTaken': 10}〉,,24.0,14,,リアクション=条件係数の手動査定
green_snare_root,絡め捕る根,アンコモン,2,物理,,威圧1 + ブロック12,,17.0,14,121,
green_surge_thrust,怒涛の突き上げ,アンコモン,2,物理,,勢い×3ダメ,,,14,,参照スケール/倍加=典型値の手動査定要
green_reaction_root_weave,根の紡ぎ,アンコモン,3,リアクション,,[敵行動時]打ち消し + [敵行動時]成長+3,,24.0,20,,リアクション=条件係数の手動査定
green_serpent_gulp,大蛇の丸呑み,アンコモン,3,物理,,ダメージ34,捨てコスト1,34.0,20,170,捨てコスト補正別途
green_sig_canopy,天蓋の実り,アンコモン,3,呪文,消滅,上限+2 + 2ドロー + ブロック4,,22.0,20,110,
green_sig_trample,踏み荒らし,アンコモン,3,物理,,ダメージ16(貫通) + 勢い+3,,24.5,20,123,
green_finisher_wrath,大樹の怒り,アンコモン,4,物理,,ダメージ36 + 成長+1,,40.0,26,154,
green_sig_stampede,巨象の突進,アンコモン,4,物理,,ダメージ32(貫通),,40.0,26,154,
green_x_stampede,大角の暴走,アンコモン,X,物理,,ダメージ6(貫通),Xコスト/軸:ramp,,8,,X参照=査定不能
green_horn_flare,昂ぶる角笛,レア,1,呪文,消滅,勢い+2 + 勢い2倍,,,8,,参照スケール/倍加=典型値の手動査定要
green_perm_tree_pulse,大樹の脈,レア,2,置物,,[毎T開始]次のカード-1,軸:ramp,,14,,置物=生涯価値×3で手動査定
green_perm_wild_call,荒野の呼び声,レア,2,置物,,[毎T開始]勢い+3,,,14,,置物=生涯価値×3で手動査定
green_sig_rite_of_bloom,開花の儀,レア,2,呪文,消滅,成長2倍,,,14,,参照スケール/倍加=典型値の手動査定要
green_sig_vine_dance,蔦の乱舞,レア,3,物理,,ダメージ2 + ダメージ2 + ダメージ2 + ダメージ2 + ダメージ2,軸:growth,10.0,20,50,
green_trunk_stance,大幹の構え,レア,3,物理,,上限×2ダメ + 上限×2ブロック,,,20,,参照スケール/倍加=典型値の手動査定要
green_finisher_stomp,巨獣の踏みつけ,レア,5,物理,,ダメージ50,軸:ramp,50.0,32,156,
green_sig_overgrowth,森の大爆発,レア,5,呪文,消滅,上限×4ダメ,,,32,,参照スケール/倍加=典型値の手動査定要
